ID_indiv X Y Env1 Env2 Env3 Env4 Env5 Env6 Env7 Env8 Env9 Env10 Env11 PSV1 PSV2
ALE027 121.4191 51.2818 -54 159 26 138 476 106 15 0.0342977084862806 4.83924677555335 2.75 16 -0.403145734372828 0.0496834801358149
ALS046 121.4212 50.9 -51 159 26 140 470 106 15 0.0284291386365245 3.30002062690938 -9.625 16 -0.394815752128059 0.0553846477850478
ALY036 121.7336 51.5469 -53 159 26 142 475 105 15 0.0569088813388558 5.33234842205825 3.25 16 -0.407253312838889 0.0468722197904464
BJC007 122.3499 53.4901 -36 151 24 171 421 97 13 0.00138562109332969 4.90946661414087 0 1 -0.414695232576441 0.0417789003019327
BMX54 100.8116 32.8011 37 162 43 120 655 90 15 0.0842854828870876 5.00894736972995 -136.5 8 0.540801535063022 -0.48322492249488
BX54 102.7403 30.8295 85 98 35 157 856 78 21 0.0825416688798755 3.42219083437055 -86 4 0.626349926104999 -0.53850936952949
CGZ003 124.617 51.9907 -34 147 24 164 488 100 15 0.0617508202096781 4.02273826164166 -6 16 -0.416054872759365 0.0408483093406458
DCX5 100.1922 28.6167 48 139 46 116 688 108 10 0.186195295960004 4.60415886903764 -96.625 16 0.790719374730541 -0.617304468520606
DFX11 100.9644 31.1147 75 157 46 148 637 93 10 0.244312178211158 1.00252364556263 -54.375 1 0.637535366540438 -0.543871370267634
DQS13 111.8089 41.0516 17 124 27 162 358 108 10 0.0215009145426179 5.08696953849268 -17.625 8 -0.0647274630535894 -0.121791458468263
DTX94 101.5427 37.186 23 128 34 124 486 92 7 0.112375869155434 4.19840825956588 -166.625 4 0.115832839677058 -0.207005327805476
EDG18 126.4611 41.7171 23 127 24 182 919 94 38 0.051414320383774 2.99016223290823 -19.625 8 -0.376883983890639 -0.0088089431195131
EDG27 126.4618 41.717 23 127 24 182 919 94 38 0.051414320383774 2.99016223290823 -19.625 8 -0.381525245168187 -0.00710764173331528
FHSJ1 127.9786 44.2193 21 130 25 187 672 97 21 0.0706424089630833 4.16832048336684 -51 16 -0.400750997311131 0.00225582652293466
HGS18 130.2832 47.1663 26 120 22 202 573 94 20 0.0403896878627372 4.49242498769577 -13.875 16 -0.428329121736109 0.0170329471363248
HLS53 129.0528 42.4833 25 124 27 171 657 91 24 0.147324537570171 4.89996788917901 6 16 -0.401268708889288 -0.00183315265824552
HNX7 130.886 46.3334 30 114 22 201 557 92 19 0.0342615325245759 2.34142063531129 5.375 1 -0.423957417466281 0.016403363132276
HR6 125.1582 41.2565 34 124 25 187 1048 100 41 0.200070137011497 3.02109428460017 62.625 1 -0.371810422723103 -0.0153309293517953
HTY15 126.3612 41.8068 33 128 25 191 893 94 36 0.107782795614238 5.50311003904101 -59.625 16 -0.381810889835432 -0.00784213873721179
