ID_indiv	X	Y	Env1	Env2	Env3	Env4	Env5	Env6	Env7	Env8	Env9	Env10	Env11
ALE027	121.4191	51.2818	-54	159	26	138	476	106	15	0.034297708	4.839246776	2.75	16
ALS046	121.4212	50.9	-51	159	26	140	470	106	15	0.028429139	3.300020627	-9.625	16
ALY036	121.7336	51.5469	-53	159	26	142	475	105	15	0.056908881	5.332348422	3.25	16
BJC007	122.3499	53.4901	-36	151	24	171	421	97	13	0.001385621	4.909466614	0	1
BMX54	100.8116	32.8011	37	162	43	120	655	90	15	0.084285483	5.00894737	-136.5	8
BX54	102.7403	30.8295	85	98	35	157	856	78	21	0.082541669	3.422190834	-86	4
CGZ003	124.617	51.9907	-34	147	24	164	488	100	15	0.06175082	4.022738262	-6	16
DCX5	100.1922	28.6167	48	139	46	116	688	108	10	0.186195296	4.604158869	-96.625	16
DFX11	100.9644	31.1147	75	157	46	148	637	93	10	0.244312178	1.002523646	-54.375	1
DQS13	111.8089	41.0516	17	124	27	162	358	108	10	0.021500915	5.086969538	-17.625	8
DTX94	101.5427	37.186	23	128	34	124	486	92	7	0.112375869	4.19840826	-166.625	4
EDG18	126.4611	41.7171	23	127	24	182	919	94	38	0.05141432	2.990162233	-19.625	8
EDG27	126.4618	41.717	23	127	24	182	919	94	38	0.05141432	2.990162233	-19.625	8
FHSJ1	127.9786	44.2193	21	130	25	187	672	97	21	0.070642409	4.168320483	-51	16
HGS18	130.2832	47.1663	26	120	22	202	573	94	20	0.040389688	4.492424988	-13.875	16
HLS53	129.0528	42.4833	25	124	27	171	657	91	24	0.147324538	4.899967889	6	16
HNX7	130.886	46.3334	30	114	22	201	557	92	19	0.034261533	2.341420635	5.375	1
HR6	125.1582	41.2565	34	124	25	187	1048	100	41	0.200070137	3.021094285	62.625	1
HTY15	126.3612	41.8068	33	128	25	191	893	94	36	0.107782796	5.503110039	-59.625	16
HX1	105.9652	34.0296	106	92	28	196	656	79	15	0.065505874	0.830991134	6	128
JD24	101.4489	29.2119	48	137	46	113	899	99	12	0.078138302	4.09316023	-91.25	16
JS39	99.8034	27.4391	72	115	46	130	876	96	22	0.192618896	1.35204843	-51.25	1
JXS19	130.9656	45.3755	31	115	23	194	566	91	21	0.07563417	2.024822328	13.875	1
JY23	130.4574	48.6551	6	122	21	195	592	93	19	0.012185432	0.202238212	-1.5	1
JYX28	126.7209	42.292	24	130	24	187	841	93	33	0.017199514	0.674927208	9.125	1
KCL2	125.0931	41.0696	57	122	25	206	1046	103	40	0.02674651	4.038929339	-53.25	8
LBX31	130.8627	47.7191	22	115	21	199	603	90	20	0.035885937	5.586615966	-11.875	16
LJP1	100.2572	27.1222	96	117	48	150	941	102	17	0.075682659	0.426059746	24.625	1
LLZ018	126.5507	41.8415	17	128	25	176	912	93	37	0.215567527	5.700718161	-37.5	16
LM049	123.1261	52.8803	-46	153	25	155	466	100	14	0.057725646	4.632492684	-8.25	16
LMS033	122.2915	48.3454	9	124	24	180	459	115	10	0.018107127	4.060396383	-35.875	2
LS33	111.9603	36.8358	34	111	29	136	619	91	20	0.226682334	0.133983197	9.625	1
LXJ13	102.821	31.6495	91	134	43	163	789	80	17	0.016696104	3.008489222	-217.375	32
LYC11	110.4852	34.4317	61	73	23	155	856	68	39	0.111046687	1.394699862	59.75	1
